752,16544,205,73,39,137,157,-3.2
753,18072,12,8,14,15,3,-1.1
754,21112,206,172,219,198,73,-24.0
755,42280,538,887,1236,702,301,-65.9
758,444188,2581,2315,2382,2824,1131,-239.1
759,398475,1224,1082,1116,1074,606,-124.4
760,549480,2495,2171,4403,5912,2451,365.3
762,342138,916,935,909,1304,673,-11.7
763,3052,0,0,0,0,0,0.0
764,3056,0,0,0,0,0,0.0
768,43776,1704,1323,1145,1035,1138,-142.0
769,42295,2112,1498,1176,2755,1066,-83.5
770,65450,5578,3359,2134,3321,2153,-688.8
772,40916,2844,2105,886,144,39,-757.1
773,16233,477,430,647,597,186,-41.5
775,55025,4585,2348,3267,7364,2305,45.6
776,39576,4614,3722,5064,7343,2349,-90.9
777,25641,24,6,45,45,18,2.7
778,11670,3,6,3,9,0,-0.3
779,18696,24,9,3,6,9,-3.3
780,16380,6,15,3,3,3,-1.8
781,30459,18,33,12,12,9,-3.9
782,46920,1969,2206,3275,2907,990,-125.7
783,34452,955,490,509,774,126,-137.4
784,32144,15,19,78,207,18,19.4
785,14915,205,348,207,192,108,-35.0
786,39300,1209,1098,918,1116,303,-179.4
787,16527,3,0,12,6,3,0.6
788,28368,87,69,46,66,9,-15.9
789,3945,0,4,6,3,0,-0.1
790,4740,8,1,1,3,0,-1.4
791,3164,0,0,0,1,0,0.1
792,22176,79,51,60,111,45,-0.8
793,19825,162,90,88,216,183,16.8
794,48434,742,603,753,1015,249,-57.4
795,59625,503,560,802,1053,304,9.5
796,23880,30,60,114,129,42,9.3
798,64638,5311,2433,2445,2577,933,-861.2
801,100125,1040,919,991,1529,555,-36.0
802,44912,316,322,297,409,150,-24.5
803,33726,244,132,84,183,84,-26.9
805,24150,75,60,42,162,51,5.4
806,39494,220,210,198,246,114,-17.6
807,50841,216,219,344,379,105,-6.2
810,86670,471,429,555,516,276,-30.3
812,29232,84,99,147,180,48,0.9
814,21164,322,297,349,148,39,-71.5
815,9780,0,3,3,3,0,0.0
817,17157,249,274,439,160,12,-58.8
818,22086,66,207,525,144,42,-11.1
819,12285,0,12,6,9,0,-0.3
820,30340,56,21,30,21,3,-10.6
821,42692,3219,3228,4328,4372,1545,-220.4
822,30414,3467,2892,3716,1937,1743,-440.3
823,19752,69,24,39,39,15,-9.3
824,46968,1205,1015,1173,795,356,-191.8
825,30525,543,379,229,249,72,-107.2
826,19824,9,6,3,3,0,-2.1
827,65333,2315,3038,3227,2682,1206,-257.4
828,28152,1137,961,978,828,765,-87.7
829,57201,1080,761,502,594,159,-200.9
839,380067,1329,713,1139,861,555,-140.0
840,468720,1209,732,899,982,534,-110.0
841,454981,1214,830,934,1018,636,-96.8
842,294700,1328,1018,610,1049,523,-157.9
843,284091,2040,1321,949,1525,659,-255.8
844,65832,457,483,405,1001,507,61.8
845,57460,845,1240,1769,2737,978,176.3
846,17766,326,355,220,387,312,0.4
847,32186,153,460,416,660,441,77.6
849,5943,5,3,11,0,1,-1.1
850,273700,547,515,419,683,366,-19.4
851,142117,121,106,234,421,129,33.1
852,128652,209,177,216,269,174,2.2
854,89670,82,127,68,113,60,-5.8
855,221445,556,387,278,493,177,-65.2
856,546128,734,718,290,523,208,-124.7
857,115695,60,45,105,123,57,7.2
858,572286,624,785,1171,1740,696,109.9
860,30100,151,147,166,246,114,2.5
861,21525,96,96,49,195,45,-0.3
862,92234,1232,1203,933,1472,672,-85.1
863,44013,1881,1257,1338,1341,471,-273.6
864,46656,78,57,72,54,24,-11.1
865,38060,2406,1983,2925,1849,792,-336.2
866,12990,0,0,3,0,3,0.6
867,29478,199,281,283,1080,318,103.7
868,40796,678,619,426,2259,1326,293.6
869,19118,0,6,8,3,0,-0.3
870,20880,210,48,0,15,252,5.1
872,49704,352,292,109,79,25,-86.7
873,50634,55,47,34,8,12,-12.5
874,74290,1602,981,415,167,147,-372.4
875,49000,336,192,285,122,79,-58.4
876,51684,213,165,116,95,145,-20.6
878,38632,0,0,1,0,0,0.0
879,43071,2,1,1,2,2,0.1
880,42240,1,1,4,1,1,0.0
881,44050,318,69,210,110,2,-59.1
882,44100,261,89,59,12,3,-59.3
